endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min
hepatic,coxnet,early_v1_v3,low/moderate,0,,,
hepatic,rsf,early_v1_v3,low/moderate,0,,,
hepatic,xgb_cox,early_v1_v3,low/moderate,25,0.7371377130976096,0.11352557270016904,0.5051792828685259
hepatic,lgbm_binary,early_v1_v3,low/moderate,25,0.7634697844099937,0.09367044085709098,0.5386313465783664
hepatic,catboost_binary,early_v1_v3,low/moderate,25,0.7601220569940018,0.12241650094393318,0.4573643410852713
death,coxnet,early_v1_v3,low/moderate,0,,,
death,rsf,early_v1_v3,low/moderate,0,,,
death,xgb_cox,early_v1_v3,low/moderate,25,0.7734520248101141,0.05964898290371657,0.6471631205673759
death,lgbm_binary,early_v1_v3,low/moderate,25,0.7317145277571566,0.08494076879040982,0.5723793677204659
death,catboost_binary,early_v1_v3,low/moderate,25,0.6960602994484003,0.09152846055181224,0.514721919302072
