endpoint,model,feature_set,leakage_risk,n_folds_evaluated,cindex_mean,cindex_std,cindex_min,cindex_max,cindex_mean_minus_halfsd
hepatic,rsf,current_state_v2,moderate-high,15,0.8195331722002311,0.1067079750978143,0.5968992248062015,0.9552845528455285,0.766179184651324
hepatic,xgb_aft,current_state_v2,moderate-high,15,0.7824951086391062,0.11505961930461144,0.5577630610743194,0.926829268292683,0.7249652989868005
hepatic,xgb_cox,current_state_v2,moderate-high,15,0.7526936576792206,0.143222356765855,0.4796812749003984,0.9359756097560976,0.6810824792962931
hepatic,rsf,current_state_v2,moderate-high,15,0.8195357476564831,0.11121966470660191,0.5937984496124031,0.9583333333333334,0.7639259153031821
hepatic,xgb_aft,current_state_v2,moderate-high,15,0.7824951086391062,0.11505961930461144,0.5577630610743194,0.926829268292683,0.7249652989868005
hepatic,xgb_cox,current_state_v2,moderate-high,15,0.7504048974240085,0.14030617417073207,0.48047808764940236,0.9441056910569106,0.6802518103386425
hepatic,rsf,current_state_v2,moderate-high,15,0.8202088599811682,0.11355645513203348,0.5984496124031008,0.948170731707317,0.7634306324151515
hepatic,xgb_aft,current_state_v2,moderate-high,15,0.7824951086391062,0.11505961930461144,0.5577630610743194,0.926829268292683,0.7249652989868005
hepatic,xgb_cox,current_state_v2,moderate-high,15,0.7570128107471984,0.14789193564572298,0.4665194996320824,0.943089430894309,0.683066842924337
death,rsf,current_state_v2,moderate-high,15,0.9335839753205261,0.02161470816581505,0.8904109589041096,0.9738276990185387,0.9227766212376185
death,xgb_aft,current_state_v2,moderate-high,15,0.919188385575083,0.026981583357615125,0.8582333696837514,0.9603174603174603,0.9056975938962755
death,xgb_cox,current_state_v2,moderate-high,15,0.9408156516794512,0.026127200348776896,0.8681948424068768,0.9781897491821155,0.9277520515050628
death,rsf,current_state_v2,moderate-high,15,0.9308632146024565,0.020727083452000812,0.8872497365648051,0.9708939708939709,0.9204996728764561
death,xgb_aft,current_state_v2,moderate-high,15,0.919188385575083,0.026981583357615125,0.8582333696837514,0.9603174603174603,0.9056975938962755
death,xgb_cox,current_state_v2,moderate-high,15,0.9365055609002569,0.02760697554650917,0.8667621776504298,0.9760087241003271,0.9227020731270024
death,rsf,current_state_v2,moderate-high,15,0.9320029124636232,0.024067890680787768,0.8767123287671232,0.9727371864776445,0.9199689671232293
death,xgb_aft,current_state_v2,moderate-high,15,0.919188385575083,0.026981583357615125,0.8582333696837514,0.9603174603174603,0.9056975938962755
death,xgb_cox,current_state_v2,moderate-high,15,0.9382985897736305,0.02701185663775119,0.8581661891117478,0.9727371864776445,0.9247926614547548
