endpoint,component,oof_cindex,fold_mean,fold_std,fold_min,rho_with_anchor_oof
hepatic,phase3_10_horizon_blend_v2,0.8500148794762424,0.8484771511981166,0.10840160154451017,0.6,1.0
hepatic,phase3_9_horizon_blend,0.8451377178189995,0.8432399776010534,0.10606634960776684,0.6015503875968993,0.9932476619978319
hepatic,phase3_5_v3_hepatic_focused,0.8414839797639123,0.8369844496563974,0.09913538579829875,0.6201550387596899,0.9807777483645393
hepatic,hep_h1_lgbm_binary,0.7186621697582912,0.721681544877851,0.13881142155218906,0.4372093023255814,0.4018128191604242
hepatic,hep_h2_catboost_binary,0.72476275501769,0.7254811387752576,0.10934776734857621,0.5139442231075697,0.4515588186509987
hepatic,hep_h3_s4,0.7740964851370565,0.7840733044662085,0.12602214074625012,0.5397350993377483,0.5663581905298284
hepatic,hep_h4_catboost_binary,0.7571008167179182,0.769180815832934,0.12431704053048817,0.5636497424576895,0.6216286600077551
hepatic,hep_h5_lgbm_binary,0.7455278907515789,0.7560542158891312,0.12255409481616798,0.5171314741035856,0.5175512931419425
hepatic,hep_h6_catboost_binary,0.7459577422874715,0.7557248242965443,0.11410363771652769,0.5227091633466135,0.5270305843243467
hepatic,current_state_NIT_plus_scores,0.7713189829051351,0.7753014443821581,0.12266063807660885,0.5557768924302788,0.6343877527649151
hepatic,phase2_aggressive_longitudinal,0.7819660747941672,0.7894271418884291,0.10895350024152672,0.595219123505976,0.7811927070865938
hepatic,robust_longitudinal,0.7649208081208875,0.7764491908078284,0.11540255863530746,0.5784860557768924,0.7276063591359226
hepatic,current_state_biomarker_only,0.7553814105743478,0.764499820256378,0.09298043036692163,0.5944223107569722,0.5503026124525721
death,phase3_10_horizon_blend_v2,0.9537190082644628,0.9526657189324033,0.012349294597071831,0.9269356597600873,1.0
death,phase3_9_horizon_blend,0.950667514303878,0.9515296220099959,0.012537397902767495,0.9269356597600873,0.996033055687512
death,phase3_5_v3_hepatic_focused,0.949607967789786,0.9501800691404605,0.011514309017754649,0.9269340974212035,0.9938637142769999
death,dea_h5_s3,0.9095147276965458,0.9123187613872396,0.04837519813814611,0.7830508474576271,0.8249982539573771
death,dea_h6_catboost_binary,0.9179063360881543,0.9195417426319812,0.030425144636744506,0.8564971751412429,0.8409684627979956
death,current_state_NIT_plus_scores,0.8319771137952956,0.8202764004027696,0.04853334695502275,0.7559322033898305,0.4018443357820243
death,phase2_aggressive_longitudinal,0.8639542275905913,0.8571782312476083,0.04440662429114702,0.7779369627507163,0.4687877234177073
death,robust_longitudinal,0.8495020131383768,0.8439626852028508,0.045425266845715344,0.7867177522349936,0.39058198494660845
death,current_state_biomarker_only,0.8114219114219114,0.8079379661933535,0.05144566872036343,0.7206303724928367,0.3173860335009467
