top_q,bottom_q,pseudo_weight,ci,ci_delta_vs_ref,fold_std,fold_min,rho_test_anchor_component,n_pseudo_pos_total,n_pseudo_neg_total
0.05,0.2,0.05,0.7516780742651192,-0.0224184108719373,0.11762904436276837,0.5504047093451067,0.9671628288378447,189,750
0.05,0.2,0.1,0.7435108950831597,-0.030585590053896827,0.11528201921202004,0.5614422369389257,0.964819321120013,189,750
0.05,0.2,0.2,0.7494296200773732,-0.024666865059683296,0.1151812436478262,0.5627906976744186,0.9588517081715344,189,750
0.075,0.225,0.05,0.7564395066626988,-0.017656978474357765,0.12200112254421558,0.5261221486387049,0.9581702660383067,285,840
0.075,0.225,0.1,0.7505373144198657,-0.023559170717190825,0.1204138319611396,0.5364238410596026,0.9512997184810023,285,840
0.075,0.225,0.2,0.7532321528948848,-0.020864332242171768,0.1229749323255056,0.5342163355408388,0.9455342550718131,285,840
0.1,0.25,0.05,0.7567040306847865,-0.01739245445227,0.10987227599739638,0.5689922480620155,0.9458580114319924,375,939
0.1,0.25,0.1,0.7547201005191284,-0.019376384617928122,0.1162810329241191,0.5658914728682171,0.9389925374317527,375,939
0.1,0.25,0.2,0.7516780742651192,-0.0224184108719373,0.1215279429966141,0.5437821927888153,0.9328381541638366,375,939
