label,endpoint,model_kind,feature_set,n_controls,seed,ci_oof,fold_std,fold_min,rho_oof_anchor,rho_test_anchor,median_pairs_per_fold,median_events_per_fold,wall_seconds
hep__lgbm_ranker__v3_hepatic_schema__K20__s0,hepatic,lgbm_ranker,v3_hepatic_schema,20,0,0.7652349303971167,0.11578571907633618,0.5872509960159362,0.6972737156426814,0.8067996771156248,736,38,2.8297550678253174
hep__lgbm_ranker__v3_hepatic_schema__K50__s0,hepatic,lgbm_ranker,v3_hepatic_schema,50,0,0.7830903018880402,0.12595544378079462,0.5346613545816733,0.6584413668546931,0.772212600299385,1771,38,3.2456865310668945
hep__xgb_ranker__v3_hepatic_schema__K20__s0,hepatic,xgb_ranker,v3_hepatic_schema,20,0,0.7479747379558906,0.1346194613933615,0.5115537848605578,0.7055973352072548,0.7968704869366847,736,38,108.60878849029541
hep__xgb_ranker__v3_hepatic_schema__K50__s0,hepatic,xgb_ranker,v3_hepatic_schema,50,0,0.7535958734252555,0.13112576271044382,0.4892430278884462,0.6605053852738808,0.761367712235742,1771,38,53.161097288131714
hep__pairwise_logreg__v3_hepatic_schema__K20__s0,hepatic,pairwise_logreg,v3_hepatic_schema,20,0,0.6364447971431405,0.09608142150009127,0.5474189675870348,0.006088782092835711,0.5600027270372504,736,38,0.46751928329467773
hep__pairwise_logreg__v3_hepatic_schema__K50__s0,hepatic,pairwise_logreg,v3_hepatic_schema,50,0,0.6006679231557716,0.08857924154693267,0.5007751937984496,-0.009389788564142888,0.4819306630961539,1771,38,1.249140739440918
hep__lgbm_ranker__NIT_plus_scores__K20__s0,hepatic,lgbm_ranker,NIT_plus_scores,20,0,0.7509175677016169,0.13379656676958457,0.5625498007968127,0.6666628856964402,0.7410031652261581,736,38,1.547459363937378
hep__lgbm_ranker__NIT_plus_scores__K50__s0,hepatic,lgbm_ranker,NIT_plus_scores,50,0,0.7786429917666898,0.12039948750865537,0.549402390438247,0.6423717337586089,0.7108204913859564,1771,38,1.898806095123291
hep__xgb_ranker__NIT_plus_scores__K20__s0,hepatic,xgb_ranker,NIT_plus_scores,20,0,0.7481069999669345,0.12222254036139672,0.5636497424576895,0.6669275373353614,0.7091298868418323,736,38,17.11629056930542
hep__xgb_ranker__NIT_plus_scores__K50__s0,hepatic,xgb_ranker,NIT_plus_scores,50,0,0.7759481532916708,0.12155054997525933,0.5258964143426295,0.6455260582210873,0.7020241315050343,1771,38,81.75796675682068
hep__pairwise_logreg__NIT_plus_scores__K20__s0,hepatic,pairwise_logreg,NIT_plus_scores,20,0,0.6395860199054326,0.12005202256632601,0.5128865979381443,0.10803258831219242,0.34714312129628055,736,38,0.20345783233642578
hep__pairwise_logreg__NIT_plus_scores__K50__s0,hepatic,pairwise_logreg,NIT_plus_scores,50,0,0.607810071752141,0.11410894625461486,0.45737051792828687,0.023812703023967555,0.32903836858167934,1771,38,0.4943702220916748
hep__lgbm_ranker__biomarker_only__K20__s0,hepatic,lgbm_ranker,biomarker_only,20,0,0.7716496379327448,0.12125939672786533,0.5768924302788845,0.7010398007431957,0.783216671234856,736,38,2.1319332122802734
hep__lgbm_ranker__biomarker_only__K50__s0,hepatic,lgbm_ranker,biomarker_only,50,0,0.7687729391925404,0.1283339205970302,0.4932270916334661,0.6345081561977028,0.7518045316779319,1771,38,2.5729758739471436
hep__xgb_ranker__biomarker_only__K20__s0,hepatic,xgb_ranker,biomarker_only,20,0,0.7569685547068743,0.12725204365830434,0.5203187250996016,0.6915081119170584,0.7647819787231693,736,38,42.75122570991516
hep__xgb_ranker__biomarker_only__K50__s0,hepatic,xgb_ranker,biomarker_only,50,0,0.7622921006513904,0.12623997215262234,0.4932270916334661,0.6449423577102851,0.7325954081528557,1771,38,77.44084000587463
hep__pairwise_logreg__biomarker_only__K20__s0,hepatic,pairwise_logreg,biomarker_only,20,0,0.6235161855636014,0.11391321869202803,0.39368556701030927,0.1343517664443852,0.37746761692816566,736,38,0.3748753070831299
hep__pairwise_logreg__biomarker_only__K50__s0,hepatic,pairwise_logreg,biomarker_only,50,0,0.608868167840492,0.07321845086467042,0.47100515463917525,0.06294411456565015,0.3349527891586024,1771,38,1.0948238372802734
hep__lgbm_ranker__v3_hepatic_schema__K50__s1,hepatic,lgbm_ranker,v3_hepatic_schema,50,1,0.7614323975796052,0.13503780278192035,0.506990434142752,0.6371935745929068,0.7628376170213158,1771,38,3.217308282852173
hep__lgbm_ranker__v3_hepatic_schema__K50__s2,hepatic,lgbm_ranker,v3_hepatic_schema,50,2,0.7829580398769963,0.12682078622143486,0.5258964143426295,0.6695698155158165,0.7769769880468226,1771,38,3.1715197563171387
hep__lgbm_ranker__v3_hepatic_schema__K50__s3,hepatic,lgbm_ranker,v3_hepatic_schema,50,3,0.7613662665740832,0.12681967219441156,0.501195219123506,0.6598646979504801,0.7670389191419638,1771,38,3.2684788703918457
hep__lgbm_ranker__v3_hepatic_schema__K50__bag,hepatic,lgbm_ranker,v3_hepatic_schema,50,-1,0.778477664252885,0.1306499722798699,0.5155378486055777,0.6822869002872944,0.772813408040354,-1,-1,0.0
hep__lgbm_ranker__cross_fs_ensemble,hepatic,lgbm_ranker,ensemble,-1,-1,0.774046886882915,0.11933243041881067,0.5864541832669322,0.7312493988565129,0.8076838161681177,-1,-1,0.0
dea__lgbm_ranker__current_state_v2__K50__s0,death,lgbm_ranker,current_state_v2,50,0,0.8903157448611994,0.04179556318906959,0.8084291187739464,0.8480148380674741,0.9485542899144661,2706,61,3.5171871185302734
dea__xgb_ranker__current_state_v2__K50__s0,death,xgb_ranker,current_state_v2,50,0,0.9341385886840432,0.02362257029570167,0.8753581661891118,0.8930912997424152,0.954004875688339,2706,61,118.06064867973328
