blend,alpha,side,source,hep_oof,death_oof,weighted_oof,hep_fold_std,hep_fold_min,dea_fold_std,dea_fold_min,rho_h_test_anchor,rho_d_test_anchor,rho_h_oof_anchor,rho_d_oof_anchor
anchor_phase3_10_v2,1.0,none,anchor,0.8500148794762424,0.9537190082644628,0.8811261181127085,0.10840160154451017,0.6,0.012349294597071831,0.9269356597600873,1.0,1.0,1.0,1.0
single_alpha=0.95_hep_only,0.95,hep_only,best_single,0.8501802069900473,0.9537190082644628,0.8812418473723719,0.10997985600719808,0.5968992248062015,0.012349294597071831,0.9269356597600873,0.9994946657288584,1.0,0.9993458367615785,1.0
ensemble_alpha=0.95_hep_only,0.95,hep_only,ensemble,0.8510068445590715,0.9537190082644628,0.8818204936706888,0.1113536371142174,0.5922480620155038,0.012349294597071831,0.9269356597600873,0.9994440886567815,1.0,0.999337083288132,1.0
single_alpha=0.95_dea_only,0.95,dea_only,best_single,0.8500148794762424,0.9537190082644628,0.8811261181127085,0.10840160154451017,0.6,0.014056615722085938,0.9225736095965104,1.0,0.9996961018231385,1.0,0.9995063881943612
ensemble_alpha=0.95_dea_only,0.95,dea_only,ensemble,0.8500148794762424,0.9541428268700995,0.8812532636943995,0.10840160154451017,0.6,0.012673894560208045,0.9269356597600873,1.0,0.9998460888473224,1.0,0.9997541403575094
single_alpha=0.95_both,0.95,both,best_single,0.8501802069900473,0.9537190082644628,0.8812418473723719,0.10997985600719808,0.5968992248062015,0.014056615722085938,0.9225736095965104,0.9994946657288584,0.9996961018231385,0.9993458367615785,0.9995063881943612
ensemble_alpha=0.95_both,0.95,both,ensemble,0.8510068445590715,0.9541428268700995,0.8819476392523798,0.1113536371142174,0.5922480620155038,0.012673894560208045,0.9269356597600873,0.9994440886567815,0.9998460888473224,0.999337083288132,0.9997541403575094
single_alpha=0.9_hep_only,0.9,hep_only,best_single,0.8499156829679595,0.9537190082644628,0.8810566805569104,0.11197816441267255,0.5968992248062015,0.012349294597071831,0.9269356597600873,0.9979935659343612,1.0,0.9972521989626866,1.0
ensemble_alpha=0.9_hep_only,0.9,hep_only,ensemble,0.8517838838739543,0.9537190082644628,0.8823644211911068,0.11230289570174261,0.5906976744186047,0.012349294597071831,0.9269356597600873,0.9977023904795763,1.0,0.9972739453206897,1.0
single_alpha=0.9_dea_only,0.9,dea_only,best_single,0.8500148794762424,0.9534647171010807,0.8810498307636938,0.10840160154451017,0.6,0.015088156381930585,0.9193020719738277,1.0,0.9987319672170656,1.0,0.9979617987780253
ensemble_alpha=0.9_dea_only,0.9,dea_only,ensemble,0.8500148794762424,0.9543123543123543,0.8813041219270759,0.10840160154451017,0.6,0.01339483003130156,0.9247546346782988,1.0,0.999418918937209,1.0,0.9990241558797395
single_alpha=0.9_both,0.9,both,best_single,0.8499156829679595,0.9534647171010807,0.8809803932078959,0.11197816441267255,0.5968992248062015,0.015088156381930585,0.9193020719738277,0.9979935659343612,0.9987319672170656,0.9972521989626866,0.9979617987780253
ensemble_alpha=0.9_both,0.9,both,ensemble,0.8517838838739543,0.9543123543123543,0.8825424250054743,0.11230289570174261,0.5906976744186047,0.01339483003130156,0.9247546346782988,0.9977023904795763,0.999418918937209,0.9972739453206897,0.9990241558797395
single_alpha=0.85_hep_only,0.85,hep_only,best_single,0.849419700426545,0.9537190082644628,0.8807094927779203,0.1128914891742719,0.5953488372093023,0.012349294597071831,0.9269356597600873,0.9952036237261628,1.0,0.9935752064408219,1.0
ensemble_alpha=0.85_hep_only,0.85,hep_only,ensemble,0.8516846873656714,0.9537190082644628,0.8822949836353088,0.11310154715672496,0.5906976744186047,0.012349294597071831,0.9269356597600873,0.9946368919602776,1.0,0.9936078216293879,1.0
single_alpha=0.85_dea_only,0.85,dea_only,best_single,0.8500148794762424,0.9531256622165714,0.8809481142983411,0.10840160154451017,0.6,0.016550674569832224,0.9171210468920392,1.0,0.9971367286679443,1.0,0.9953282214087366
ensemble_alpha=0.85_dea_only,0.85,dea_only,ensemble,0.8500148794762424,0.9542699724517907,0.8812914073689069,0.10840160154451017,0.6,0.01376675674821292,0.9236641221374046,1.0,0.9986496803400905,1.0,0.997775540586862
single_alpha=0.85_both,0.85,both,best_single,0.849419700426545,0.9531256622165714,0.8805314889635529,0.1128914891742719,0.5953488372093023,0.016550674569832224,0.9171210468920392,0.9952036237261628,0.9971367286679443,0.9935752064408219,0.9953282214087366
ensemble_alpha=0.85_both,0.85,both,ensemble,0.8516846873656714,0.9542699724517907,0.8824602728915072,0.11310154715672496,0.5906976744186047,0.01376675674821292,0.9236641221374046,0.9946368919602776,0.9986496803400905,0.9936078216293879,0.997775540586862
single_alpha=0.8_hep_only,0.8,hep_only,best_single,0.8478821545481598,0.9537190082644628,0.8796332106630507,0.11464746535153976,0.5922480620155038,0.012349294597071831,0.9269356597600873,0.9914380899029929,1.0,0.9881403230769155,1.0
ensemble_alpha=0.8_hep_only,0.8,hep_only,ensemble,0.8519326786363787,0.9537190082644628,0.8824685775248039,0.11421324210444941,0.5899224806201551,0.012349294597071831,0.9269356597600873,0.990387264217404,1.0,0.9882543176743387,1.0
single_alpha=0.8_dea_only,0.8,dea_only,best_single,0.8500148794762424,0.952638270820089,0.8808018968793964,0.10840160154451017,0.6,0.018683015030025004,0.9138495092693566,1.0,0.994857153095177,1.0,0.9915095196871198
ensemble_alpha=0.8_dea_only,0.8,dea_only,ensemble,0.8500148794762424,0.9543971180334817,0.8813295510434141,0.10840160154451017,0.6,0.014245236377803876,0.9236641221374046,1.0,0.9974761407829151,1.0,0.9959705869916673
single_alpha=0.8_both,0.8,both,best_single,0.8478821545481598,0.952638270820089,0.8793089894297386,0.11464746535153976,0.5922480620155038,0.018683015030025004,0.9138495092693566,0.9914380899029929,0.994857153095177,0.9881403230769155,0.9915095196871198
ensemble_alpha=0.8_both,0.8,both,ensemble,0.8519326786363787,0.9543971180334817,0.8826720104555096,0.11421324210444941,0.5899224806201551,0.014245236377803876,0.9236641221374046,0.990387264217404,0.9974761407829151,0.9882543176743387,0.9959705869916673
single_alpha=0.75_hep_only,0.75,hep_only,best_single,0.8469728532222333,0.9537190082644628,0.878996699734902,0.11534181753453754,0.5922480620155038,0.012349294597071831,0.9269356597600873,0.986306496093767,1.0,0.9808218251136082,1.0
ensemble_alpha=0.75_hep_only,0.75,hep_only,ensemble,0.8519326786363787,0.9537190082644628,0.8824685775248039,0.11493850680244463,0.5906976744186047,0.012349294597071831,0.9269356597600873,0.9846045898785761,1.0,0.9810339399840505,1.0
single_alpha=0.75_dea_only,0.75,dea_only,best_single,0.8500148794762424,0.9520873066327612,0.880636607623198,0.10840160154451017,0.6,0.019747995668992165,0.910577971646674,1.0,0.9919909436896427,1.0,0.9864169391978781
ensemble_alpha=0.75_dea_only,0.75,dea_only,ensemble,0.8500148794762424,0.9542487815215088,0.8812850500898223,0.10840160154451017,0.6,0.015239104110113484,0.9214830970556162,1.0,0.9961381856429444,1.0,0.9936080022947005
single_alpha=0.75_both,0.75,both,best_single,0.8469728532222333,0.9520873066327612,0.8785071892453915,0.11534181753453754,0.5922480620155038,0.019747995668992165,0.910577971646674,0.986306496093767,0.9919909436896427,0.9808218251136082,0.9864169391978781
ensemble_alpha=0.75_both,0.75,both,ensemble,0.8519326786363787,0.9542487815215088,0.8826275095019177,0.11493850680244463,0.5906976744186047,0.015239104110113484,0.9214830970556162,0.9846045898785761,0.9961381856429444,0.9810339399840505,0.9936080022947005
greedy_cap25_both,,both,greedy_capped,0.8513374995866813,0.9537190082644628,0.8820519521900156,0.10942380486439927,0.5984496124031008,0.012349294597071831,0.9269356597600873,0.9971209143439523,1.0,0.995884940696534,1.0
greedy_cap25_hep_only,,hep_only,greedy_capped,0.8513374995866813,0.9537190082644628,0.8820519521900156,0.10942380486439927,0.5984496124031008,0.012349294597071831,0.9269356597600873,0.9971209143439523,1.0,0.995884940696534,1.0
greedy_cap25_dea_only,,dea_only,greedy_capped,0.8500148794762424,0.9537190082644628,0.8811261181127085,0.10840160154451017,0.6,0.012349294597071831,0.9269356597600873,1.0,1.0,1.0,1.0
