label,note,method_hepatic,method_death,n_components_hep,n_components_dea,oof_hepatic,oof_death,oof_weighted,fold_std_hep,fold_min_hep,fold_std_dea,fold_min_dea,rank_corr_with_current_state_v2_hep,rank_corr_with_current_state_v2_dea
H_remove_unstable_death,Drop binary classifiers from death pool.,seed_bagged,seed_bagged,3,6,0.8387064775319909,0.9500741682559865,0.8721167847491895,0.10731782709232217,0.6031007751937985,0.010900124320825367,0.9291166848418757,0.9962726802054447,0.9989876688962466
D_remove_binary_classifiers,Drop lgbm/cat/xgb binary classifiers.,seed_bagged,seed_bagged,3,6,0.8387064775319909,0.9500741682559865,0.8721167847491895,0.10731782709232217,0.6031007751937985,0.010900124320825367,0.9291166848418757,0.9962726802054447,0.9989876688962466
A_loo_dea_xgb_cox_s0,Death leave-out: phase3_current_state_v2::death__xgb_cox__s0,seed_bagged,seed_bagged,3,7,0.8387064775319909,0.9497774952320407,0.8720277828420058,0.10731782709232217,0.6031007751937985,0.011256147576865105,0.9280261723009815,0.9962726802054447,0.9896957727462233
A_loo_dea_lgbm_binary_s0,Death leave-out: phase3_current_state_v2::death__lgbm_binary__s0,seed_bagged,seed_bagged,3,8,0.8387064775319909,0.9495655859292222,0.8719642100511602,0.10731782709232217,0.6031007751937985,0.011089834812527602,0.9280261723009815,0.9962726802054447,0.99981800713753
A_loo_dea_lgbm_binary_s1,Death leave-out: phase3_current_state_v2::death__lgbm_binary__s1,seed_bagged,seed_bagged,3,8,0.8387064775319909,0.9495655859292222,0.8719642100511602,0.10731782709232217,0.6031007751937985,0.011277872076931619,0.9269356597600873,0.9962726802054447,0.9999915500046395
A_loo_dea_xgb_binary_s0,Death leave-out: phase3_current_state_v2::death__xgb_binary__s0,seed_bagged,seed_bagged,3,8,0.8387064775319909,0.9495655859292222,0.8719642100511602,0.10731782709232217,0.6031007751937985,0.011662433987241441,0.925845147219193,0.9962726802054447,0.9999766401318307
baseline_current_state_v2,Existing best per endpoint method.,seed_bagged,seed_bagged,3,9,0.8387064775319909,0.9494808222080949,0.871938780934822,0.10731782709232217,0.6031007751937985,0.011434666941358054,0.925845147219193,0.9962726802054447,0.999999986275048
A_loo_hep_rsf_s1,Hepatic leave-out: phase3_current_state_v2::hepatic__rsf__s1,seed_bagged,seed_bagged,2,9,0.8386899447806104,0.9494808222080949,0.8719272080088557,0.10678257441427394,0.6062015503875969,0.011434666941358054,0.925845147219193,0.9920750183395408,0.999999986275048
A_loo_dea_xgb_aft_s1,Death leave-out: phase3_current_state_v2::death__xgb_aft__s1,seed_bagged,seed_bagged,3,8,0.8387064775319909,0.9494384403475312,0.8719260663766529,0.10731782709232217,0.6031007751937985,0.011014300838790292,0.9280261723009815,0.9962726802054447,0.999747903132339
A_loo_dea_xgb_aft_s0,Death leave-out: phase3_current_state_v2::death__xgb_aft__s0,seed_bagged,seed_bagged,3,8,0.8387064775319909,0.9494384403475312,0.8719260663766529,0.10731782709232217,0.6031007751937985,0.011014300838790292,0.9280261723009815,0.9962726802054447,0.9997479748074725
A_loo_dea_rsf_s1,Death leave-out: phase3_current_state_v2::death__rsf__s1,seed_bagged,seed_bagged,3,8,0.8387064775319909,0.9493112947658402,0.8718879227021457,0.10731782709232217,0.6031007751937985,0.012008147638139439,0.925845147219193,0.9962726802054447,0.9973804602473839
A_loo_hep_rsf_s0,Hepatic leave-out: phase3_current_state_v2::hepatic__rsf__s0,seed_bagged,seed_bagged,2,9,0.8381608967364349,0.9494808222080949,0.8715568743779328,0.10990802162919151,0.5968992248062015,0.011434666941358054,0.925845147219193,0.9922783977265226,0.999999986275048
I_drop_corr_gt_0_98,Drop one of any rank-corr>0.98 pair. hep_kept=3 dea_kept=6.,seed_bagged,greedy,3,3,0.8387064775319909,0.9480398389489298,0.8715064859570725,0.10731782709232217,0.6031007751937985,0.012086626032143498,0.920392584514722,0.9962726802054447,0.9859694270529542
A_loo_dea_rsf_s0,Death leave-out: phase3_current_state_v2::death__rsf__s0,seed_bagged,greedy,3,3,0.8387064775319909,0.9480398389489298,0.8715064859570725,0.10731782709232217,0.6031007751937985,0.012086626032143498,0.920392584514722,0.9962726802054447,0.9859694270529542
A_loo_dea_xgb_cox_s1,Death leave-out: phase3_current_state_v2::death__xgb_cox__s1,seed_bagged,seed_bagged,3,5,0.8387064775319909,0.9477855477855478,0.8714301986080579,0.10731782709232217,0.6031007751937985,0.011876376412688941,0.9280261723009815,0.9962726802054447,0.988825709902056
J_greedy,Force a single ensemble method on the full pool.,J_greedy,J_greedy,3,3,0.8377641107033033,0.948823903369358,0.8710820485031197,0.10822688246034029,0.5984496124031008,0.012447916939430525,0.920392584514722,1.0,0.9849985714456387
J_cv_weighted,Force a single ensemble method on the full pool.,J_cv_weighted,J_cv_weighted,3,9,0.8382435604933373,0.9458783640601822,0.8705340015633907,0.10712174382911915,0.6031007751937985,0.013791796099794265,0.916030534351145,0.99658392719046,0.982154511070283
A_loo_hep_xgb_aft_s0,Hepatic leave-out: phase3_current_state_v2::hepatic__xgb_aft__s0,greedy,seed_bagged,1,9,0.8356809840293622,0.9494808222080949,0.869820935482982,0.10305990545362122,0.6055776892430279,0.011434666941358054,0.925845147219193,0.9523167541443156,0.999999986275048
C_remove_xgb_cox,"Both endpoints, xgb_cox dropped.",seed_bagged,greedy,3,2,0.8387064775319909,0.9386946386946387,0.8687029258807851,0.10731782709232217,0.6031007751937985,0.01518881198401446,0.9051254089422028,0.9962726802054447,0.9569230165192752
J_equal,Force a single ensemble method on the full pool.,J_equal,J_equal,3,9,0.8377641107033033,0.9287137105318923,0.8650489906518799,0.10822688246034029,0.5984496124031008,0.021490088546781208,0.8789531079607416,0.999999830725504,0.8497605685063271
E_no_visit_history,Drop n_visits/age_last/etc; retrain RSF only.,rsf_drop,rsf_drop,1,1,0.8414839797639123,0.8937486755668573,0.8571633885047958,0.09913538579829875,0.6201550387596899,0.022826549535895153,0.8564954682779456,0.9187156641200979,0.8249421826103976
F_no_missingness,Drop miss_* columns; retrain RSF only.,rsf_drop,rsf_drop,1,1,0.8183546605826142,0.9270608179699089,0.8509665077988027,0.1120794176059086,0.6,0.014512901072952944,0.9020021074815595,0.8106280343496055,0.8919091594476188
B_remove_rsf,"Both endpoints, RSF dropped.",equal,greedy,1,4,0.7998545117878517,0.9395634668361941,0.8417671983023544,0.10473054262059762,0.5953488372093023,0.01854449434832794,0.9068767908309455,0.8380771634759981,0.9312935627757016
G_no_biomarker_trajectories,Drop labs+NIT trajectory features; demographics/scores/missing/cadence remain.,rsf_drop,rsf_drop,1,1,0.771418179413418,0.9365119728756093,0.8209463174520752,0.12018883788784786,0.5330677290836653,0.015164467735068155,0.9135932560590094,0.7715690613480027,0.8529838349677827
